[Sat Sep 14 18:03:23.933592 2019] [php7:error] [pid 16075] [client 172.68.144.238:50750] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.941149 2019] [php7:error] [pid 5592] [client 172.68.146.215:26436] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.945436 2019] [php7:error] [pid 13220] [client 162.158.167.141:40226] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.973578 2019] [php7:error] [pid 14169] [client 162.158.165.7:52160] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.976706 2019] [php7:error] [pid 13334] [client 172.68.144.142:20722] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:23.991151 2019] [php7:error] [pid 13216] [client 172.69.135.43:9620] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:24.010388 2019] [php7:error] [pid 16072] [client 172.68.144.184:48098] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:24.025837 2019] [php7:error] [pid 13280] [client 172.68.146.107:54450] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:24.029624 2019] [php7:error] [pid 13206] [client 162.158.166.124:39668] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
[Sat Sep 14 18:03:24.031285 2019] [php7:error] [pid 13445] [client 172.68.144.238:50752] PHP Fatal error:  Namespace declaration statement has to be the very first statement or after any declare call in the script in /home/exchange/dev.doch.exchange/app/Http/Controllers/DochTransactionController.php on line 4
